dataset_split,run_type,model_id,taxonomy_condition,n,strict_macro_f1,strict_mcc,strict_balanced_accuracy,strict_accuracy,strict_invalid_rate,lenient_macro_f1,lenient_invalid_rate
test,main,deepseek-v4-flash,T0,1500,0.7082537078185399,0.6146813309833743,0.7233333333333333,0.7233333333333334,0.0033333333333333335,0.7082537078185399,0.0033333333333333335
test,main,deepseek-v4-flash,T1,1500,0.693764931368038,0.5864595666766704,0.7026666666666667,0.7026666666666667,0.019333333333333334,0.6935726376807533,0.018666666666666668
test,main,deepseek-v4-flash,T2,1500,0.7002548781719383,0.5949359520399093,0.71,0.71,0.014666666666666666,0.7005849787533373,0.014
test,main,deepseek-v4-flash,T3,1500,0.6843766067903999,0.5812934470752364,0.6973333333333334,0.6973333333333334,0.018666666666666668,0.6843766067903999,0.018666666666666668
test,main,deepseek-v4-flash,T4,1500,0.6985995693397337,0.5970205718101745,0.7080000000000001,0.708,0.02266666666666667,0.6985995693397337,0.02266666666666667
test,main,glm-5.2,T0,1500,0.737649261248127,0.6396883353274451,0.7453333333333333,0.7453333333333333,0.006,0.737649261248127,0.006
test,main,glm-5.2,T1,1500,0.7154803843670625,0.6181655781807546,0.7266666666666666,0.7266666666666667,0.008666666666666666,0.7154803843670625,0.008666666666666666
test,main,glm-5.2,T2,1500,0.7141168264247533,0.6144522460840244,0.7246666666666667,0.7246666666666667,0.01,0.7164423817024878,0.006666666666666667
test,main,glm-5.2,T3,1500,0.7111921369757569,0.6157172873521899,0.7246666666666667,0.7246666666666667,0.004666666666666667,0.7111921369757569,0.004666666666666667
test,main,glm-5.2,T4,1500,0.7134547705803372,0.6187079955894668,0.7266666666666667,0.7266666666666667,0.006666666666666667,0.7134547705803372,0.006666666666666667
test,main,kimi-k2.7-code,T0,1500,0.7589255118919579,0.6678340128794602,0.7653333333333334,0.7653333333333333,0.0,0.7589255118919579,0.0
test,main,kimi-k2.7-code,T1,1500,0.7266387137238642,0.6312681351671793,0.7353333333333333,0.7353333333333333,0.010666666666666666,0.7266387137238642,0.010666666666666666
test,main,kimi-k2.7-code,T2,1500,0.7102563951820594,0.6173642524061427,0.7233333333333333,0.7233333333333334,0.01,0.7102563951820594,0.01
test,main,kimi-k2.7-code,T3,1500,0.7042574301329165,0.6141696028584196,0.7186666666666666,0.7186666666666667,0.013333333333333334,0.7042574301329165,0.013333333333333334
test,main,kimi-k2.7-code,T4,1500,0.7019837624829345,0.6065384865865573,0.7146666666666667,0.7146666666666667,0.014,0.7019837624829345,0.014
train,pilot,deepseek-v4-flash,T0,150,0.6600601597282646,0.5463101190137937,0.6733333333333333,0.6733333333333333,0.02,0.6600601597282646,0.02
train,pilot,deepseek-v4-flash,T1,150,0.6801027518924384,0.5680081609944421,0.6866666666666666,0.6866666666666666,0.03333333333333333,0.6801027518924384,0.03333333333333333
train,pilot,deepseek-v4-flash,T2,150,0.6984649459068063,0.5880698543129028,0.7000000000000001,0.7,0.03333333333333333,0.6984649459068063,0.03333333333333333
train,pilot,deepseek-v4-flash,T3,150,0.6830363629758791,0.5665421208528657,0.6866666666666666,0.6866666666666666,0.03333333333333333,0.6830363629758791,0.03333333333333333
train,pilot,deepseek-v4-flash,T4,150,0.689704281185522,0.5900733246787295,0.7000000000000001,0.7,0.02,0.689704281185522,0.02
train,pilot,glm-5.2,T0,150,0.737231182795699,0.6415776884567669,0.7466666666666667,0.7466666666666667,0.0,0.737231182795699,0.0
train,pilot,glm-5.2,T1,150,0.6981250000000001,0.5916059312341564,0.7066666666666667,0.7066666666666667,0.013333333333333334,0.6981250000000001,0.013333333333333334
train,pilot,glm-5.2,T2,150,0.7061195418338276,0.6262907345112295,0.7266666666666666,0.7266666666666667,0.0,0.7061195418338276,0.0
train,pilot,glm-5.2,T3,150,0.7075792987352235,0.6133303729754415,0.7200000000000001,0.72,0.0,0.7075792987352235,0.0
train,pilot,glm-5.2,T4,150,0.716991341991342,0.6168519408678964,0.7266666666666667,0.7266666666666667,0.006666666666666667,0.716991341991342,0.006666666666666667
train,pilot,kimi-k2.7-code,T0,150,0.7549790372697642,0.6568105390885783,0.7599999999999999,0.76,0.0,0.7549790372697642,0.0
train,pilot,kimi-k2.7-code,T1,150,0.7299297924297924,0.6354166666666666,0.7399999999999999,0.74,0.0,0.7299297924297924,0.0
train,pilot,kimi-k2.7-code,T2,150,0.7435662088158722,0.6464948810608473,0.7466666666666667,0.7466666666666667,0.013333333333333334,0.7435662088158722,0.013333333333333334
train,pilot,kimi-k2.7-code,T3,150,0.7195375697655018,0.6182344687321373,0.7266666666666667,0.7266666666666667,0.006666666666666667,0.7195375697655018,0.006666666666666667
train,pilot,kimi-k2.7-code,T4,150,0.7184010545905707,0.6189965868539467,0.7266666666666666,0.7266666666666667,0.006666666666666667,0.7184010545905707,0.006666666666666667
test,robustness,deepseek-v4-flash,T0,1350,0.6714397875518494,0.5735194691421126,0.6940740740740742,0.6940740740740741,0.002962962962962963,0.6718101324461242,0.0022222222222222222
test,robustness,deepseek-v4-flash,T2,1350,0.6758664736601112,0.5724745357430835,0.6948148148148149,0.6948148148148148,0.003703703703703704,0.6758664736601112,0.003703703703703704
test,robustness,deepseek-v4-flash,T4,1350,0.6771714970952406,0.5724451759026365,0.6940740740740741,0.6940740740740741,0.008148148148148147,0.6771714970952406,0.008148148148148147
test,robustness,glm-5.2,T0,1350,0.6940390667761358,0.5944782770087208,0.7096296296296295,0.7096296296296296,0.0044444444444444444,0.6940390667761358,0.0044444444444444444
test,robustness,glm-5.2,T2,1350,0.6944100224555183,0.5968319716662711,0.7103703703703704,0.7103703703703703,0.002962962962962963,0.6944100224555183,0.002962962962962963
test,robustness,glm-5.2,T4,1350,0.6911042925393446,0.5948561060292882,0.708888888888889,0.7088888888888889,0.0007407407407407407,0.6911042925393446,0.0007407407407407407
test,robustness,kimi-k2.7-code,T0,1350,0.7125801916138345,0.6120144179042759,0.7251851851851852,0.7251851851851852,0.0,0.7125801916138345,0.0
