model_id,repository,taxonomy_condition,macro_f1,mcc,balanced_accuracy,invalid_rate,n
deepseek-v4-flash,bitcoin/bitcoin,T0,0.6960382250692638,0.6107293620727181,0.7200000000000001,0.0,300
deepseek-v4-flash,bitcoin/bitcoin,T1,0.6914701466172054,0.5978388019621816,0.71,0.016666666666666666,300
deepseek-v4-flash,bitcoin/bitcoin,T2,0.710626735554989,0.6128792029080719,0.7233333333333333,0.016666666666666666,300
deepseek-v4-flash,bitcoin/bitcoin,T3,0.6834407816988692,0.5998874423499685,0.71,0.006666666666666667,300
deepseek-v4-flash,bitcoin/bitcoin,T4,0.7024023547659334,0.6253925300228325,0.7266666666666667,0.01,300
deepseek-v4-flash,facebook/react,T0,0.7666608515435747,0.6819118243995449,0.7733333333333334,0.0,300
deepseek-v4-flash,facebook/react,T1,0.768654950701369,0.6751940240943224,0.7666666666666666,0.02,300
deepseek-v4-flash,facebook/react,T2,0.7572274035693725,0.6710794354025573,0.7633333333333333,0.0033333333333333335,300
deepseek-v4-flash,facebook/react,T3,0.7580750983871525,0.6696406460021515,0.7633333333333333,0.01,300
deepseek-v4-flash,facebook/react,T4,0.7592602116252459,0.6710070306288008,0.7633333333333333,0.01,300
deepseek-v4-flash,microsoft/vscode,T0,0.5883401638919465,0.5340701110397051,0.6533333333333333,0.0,300
deepseek-v4-flash,microsoft/vscode,T1,0.6062978090490053,0.5332705157716369,0.6533333333333333,0.016666666666666666,300
deepseek-v4-flash,microsoft/vscode,T2,0.5889692298614232,0.5272805438539926,0.6466666666666666,0.013333333333333334,300
deepseek-v4-flash,microsoft/vscode,T3,0.5833208936657213,0.5079269491871099,0.6333333333333333,0.03333333333333333,300
deepseek-v4-flash,microsoft/vscode,T4,0.6006908330037258,0.5327225537002225,0.65,0.023333333333333334,300
deepseek-v4-flash,opencv/opencv,T0,0.7022792022792022,0.6057499640530819,0.7133333333333334,0.0033333333333333335,300
deepseek-v4-flash,opencv/opencv,T1,0.6916889486152865,0.5870797547772235,0.7000000000000001,0.01,300
deepseek-v4-flash,opencv/opencv,T2,0.7059573829531812,0.5991208773221416,0.71,0.02,300
deepseek-v4-flash,opencv/opencv,T3,0.6894611003653557,0.5907933879077079,0.7000000000000001,0.01,300
deepseek-v4-flash,opencv/opencv,T4,0.6889838199774964,0.5815568460318936,0.6933333333333334,0.03333333333333333,300
deepseek-v4-flash,tensorflow/tensorflow,T0,0.759267215658193,0.6553649578479237,0.7566666666666667,0.013333333333333334,300
deepseek-v4-flash,tensorflow/tensorflow,T1,0.6904415235698202,0.5524814479844598,0.6833333333333332,0.03333333333333333,300
deepseek-v4-flash,tensorflow/tensorflow,T2,0.7072620308042984,0.5827258343280406,0.7066666666666666,0.02,300
deepseek-v4-flash,tensorflow/tensorflow,T3,0.6836344008434924,0.551878194777454,0.68,0.03333333333333333,300
deepseek-v4-flash,tensorflow/tensorflow,T4,0.7154305702070957,0.5882505169288681,0.7066666666666667,0.03666666666666667,300
glm-5.2,bitcoin/bitcoin,T0,0.7189655245454393,0.6229510515488448,0.7333333333333333,0.0033333333333333335,300
glm-5.2,bitcoin/bitcoin,T1,0.6886373238964066,0.587914704823733,0.7033333333333333,0.02,300
glm-5.2,bitcoin/bitcoin,T2,0.6950590308522077,0.6041458896683167,0.7166666666666667,0.0033333333333333335,300
glm-5.2,bitcoin/bitcoin,T3,0.7063961027008675,0.6228613509234084,0.7266666666666666,0.006666666666666667,300
glm-5.2,bitcoin/bitcoin,T4,0.7183832183832184,0.6322756871024365,0.7333333333333333,0.016666666666666666,300
glm-5.2,facebook/react,T0,0.7886778812846625,0.7051643210804113,0.79,0.006666666666666667,300
glm-5.2,facebook/react,T1,0.7702386324526186,0.688726304900151,0.7766666666666667,0.0033333333333333335,300
glm-5.2,facebook/react,T2,0.7735783765564751,0.6870589490086544,0.7766666666666667,0.006666666666666667,300
glm-5.2,facebook/react,T3,0.76956645048899,0.6894369798735448,0.7766666666666667,0.0,300
glm-5.2,facebook/react,T4,0.7653971688256451,0.678874876963112,0.77,0.01,300
glm-5.2,microsoft/vscode,T0,0.6384819713627751,0.5662706293683761,0.68,0.006666666666666667,300
glm-5.2,microsoft/vscode,T1,0.6109416701455509,0.5503059199736449,0.6633333333333332,0.006666666666666667,300
glm-5.2,microsoft/vscode,T2,0.6010784016020091,0.5272134735509287,0.65,0.016666666666666666,300
glm-5.2,microsoft/vscode,T3,0.5933646401556315,0.540285136735383,0.6566666666666666,0.0033333333333333335,300
glm-5.2,microsoft/vscode,T4,0.6144054313721343,0.5499599460425084,0.6666666666666666,0.0,300
glm-5.2,opencv/opencv,T0,0.7743252023963043,0.6793499723179005,0.7733333333333333,0.01,300
glm-5.2,opencv/opencv,T1,0.7520508692235448,0.6608917411455232,0.7566666666666667,0.0033333333333333335,300
glm-5.2,opencv/opencv,T2,0.7403093246875813,0.648241042081568,0.7466666666666667,0.0,300
glm-5.2,opencv/opencv,T3,0.7403827027887179,0.6477102141673161,0.7466666666666667,0.0,300
glm-5.2,opencv/opencv,T4,0.7235854134130953,0.6328893270903824,0.7333333333333334,0.0,300
glm-5.2,tensorflow/tensorflow,T0,0.7497928331286484,0.6371819779476999,0.75,0.0033333333333333335,300
glm-5.2,tensorflow/tensorflow,T1,0.7340688688750255,0.6171970063048654,0.7333333333333334,0.01,300
glm-5.2,tensorflow/tensorflow,T2,0.7382146546537077,0.6181921243975215,0.7333333333333334,0.023333333333333334,300
glm-5.2,tensorflow/tensorflow,T3,0.7176025439761703,0.5943114397268827,0.7166666666666668,0.013333333333333334,300
glm-5.2,tensorflow/tensorflow,T4,0.7288612524338923,0.6118196404635099,0.73,0.006666666666666667,300
kimi-k2.7-code,bitcoin/bitcoin,T0,0.7769619269619269,0.6967491066268416,0.7866666666666667,0.0,300
kimi-k2.7-code,bitcoin/bitcoin,T1,0.7308904933003463,0.6493642753215904,0.7466666666666667,0.006666666666666667,300
