taxonomy_condition,comparison,observed_delta_macro_f1,ci_low,ci_high,bootstrap_samples,bootstrap_seed,resampling_unit
T0,glm-5.2-kimi-k2.7-code,-0.021276250643830874,-0.04631682958666919,0.0018315443537046377,10000,20260704,"projects first, then issue ids within sampled projects; paired model predictions for each sampled issue are carried together"
T0,kimi-k2.7-code-deepseek-v4-flash,0.05067180407341798,0.025684036428074593,0.077332724954098,10000,20260704,"projects first, then issue ids within sampled projects; paired model predictions for each sampled issue are carried together"
T0,glm-5.2-deepseek-v4-flash,0.029395553429587107,0.0015171887228726925,0.05984903100223606,10000,20260704,"projects first, then issue ids within sampled projects; paired model predictions for each sampled issue are carried together"
T1,glm-5.2-kimi-k2.7-code,-0.011167088979080253,-0.03316181659509279,0.009905441019683693,10000,20260704,"projects first, then issue ids within sampled projects; paired model predictions for each sampled issue are carried together"
T1,kimi-k2.7-code-deepseek-v4-flash,0.032893917279811724,0.01527306299763221,0.0514011676229551,10000,20260704,"projects first, then issue ids within sampled projects; paired model predictions for each sampled issue are carried together"
T1,glm-5.2-deepseek-v4-flash,0.02172682830073147,-0.003408780640940756,0.04912549042321206,10000,20260704,"projects first, then issue ids within sampled projects; paired model predictions for each sampled issue are carried together"
T2,glm-5.2-kimi-k2.7-code,0.0038604312426938625,-0.01619222855128717,0.022971762610476617,10000,20260704,"projects first, then issue ids within sampled projects; paired model predictions for each sampled issue are carried together"
T2,kimi-k2.7-code-deepseek-v4-flash,0.010001517010121086,-0.007703502882223775,0.030019062980357506,10000,20260704,"projects first, then issue ids within sampled projects; paired model predictions for each sampled issue are carried together"
T2,glm-5.2-deepseek-v4-flash,0.013861948252814948,-0.007978349218700031,0.034455960746870046,10000,20260704,"projects first, then issue ids within sampled projects; paired model predictions for each sampled issue are carried together"
T3,glm-5.2-kimi-k2.7-code,0.006934706842840366,-0.00938827163523821,0.022868725253925942,10000,20260704,"projects first, then issue ids within sampled projects; paired model predictions for each sampled issue are carried together"
T3,kimi-k2.7-code-deepseek-v4-flash,0.019880823342516618,0.001000484918397166,0.03938417828936464,10000,20260704,"projects first, then issue ids within sampled projects; paired model predictions for each sampled issue are carried together"
T3,glm-5.2-deepseek-v4-flash,0.026815530185356984,0.008530660742887377,0.04648477021427669,10000,20260704,"projects first, then issue ids within sampled projects; paired model predictions for each sampled issue are carried together"
T4,glm-5.2-kimi-k2.7-code,0.011471008097402757,-0.0038872920487145663,0.02741801139579896,10000,20260704,"projects first, then issue ids within sampled projects; paired model predictions for each sampled issue are carried together"
T4,kimi-k2.7-code-deepseek-v4-flash,0.00338419314320082,-0.013535473020650867,0.020377943128096373,10000,20260704,"projects first, then issue ids within sampled projects; paired model predictions for each sampled issue are carried together"
T4,glm-5.2-deepseek-v4-flash,0.014855201240603577,-0.00025467751177756767,0.033095855643535635,10000,20260704,"projects first, then issue ids within sampled projects; paired model predictions for each sampled issue are carried together"
