taxonomy_condition,rank,model_id,macro_f1,strict_parse_rate
T0,1,kimi-k2.7-code,0.7589255118919579,1.0
T0,2,glm-5.2,0.737649261248127,0.994
T0,3,deepseek-v4-flash,0.7082537078185399,0.9966666666666667
T1,1,kimi-k2.7-code,0.7266387137238642,0.9893333333333333
T1,2,glm-5.2,0.7154803843670625,0.9913333333333333
T1,3,deepseek-v4-flash,0.693764931368038,0.9806666666666667
T2,1,glm-5.2,0.7141168264247533,0.99
T2,2,kimi-k2.7-code,0.7102563951820594,0.99
T2,3,deepseek-v4-flash,0.7002548781719383,0.9853333333333333
T3,1,glm-5.2,0.7111921369757569,0.9953333333333333
T3,2,kimi-k2.7-code,0.7042574301329165,0.9866666666666667
T3,3,deepseek-v4-flash,0.6843766067903999,0.9813333333333333
T4,1,glm-5.2,0.7134547705803372,0.9933333333333333
T4,2,kimi-k2.7-code,0.7019837624829345,0.986
T4,3,deepseek-v4-flash,0.6985995693397337,0.9773333333333334
