subset,taxonomy_condition,question_f1,question_support,delta_vs_subset_t0
original,T0,0.6021959459459459,1500,0.0
original,T1,0.558693733451015,1500,-0.043502212494930914
original,T2,0.5483584738243124,1500,-0.05383747212163359
original,T3,0.5247389922832502,1500,-0.07745695366269578
original,T4,0.533573681838666,1500,-0.0686222641072799
drop_exact_train_test_duplicates,T0,0.6032148900169205,1500,0.0
drop_exact_train_test_duplicates,T1,0.5589403973509933,1500,-0.0442744926659272
drop_exact_train_test_duplicates,T2,0.5490892936472679,1500,-0.05412559636965264
drop_exact_train_test_duplicates,T3,0.5249772933696639,1500,-0.0782375966472566
drop_exact_train_test_duplicates,T4,0.5340550293188994,1500,-0.06915986069802116
drop_near_train_test_duplicates,T0,0.6001697792869269,1494,0.0
drop_near_train_test_duplicates,T1,0.5576241134751773,1494,-0.04254566581174968
drop_near_train_test_duplicates,T2,0.5465893892108783,1494,-0.053580390076048645
drop_near_train_test_duplicates,T3,0.523483812129503,1494,-0.07668596715742393
drop_near_train_test_duplicates,T4,0.5323675871435039,1494,-0.06780219214342309
drop_label_conflict_participants,T0,0.602797795676134,1497,0.0
drop_label_conflict_participants,T1,0.5596816976127321,1497,-0.043116098063401886
drop_label_conflict_participants,T2,0.548932384341637,1497,-0.05386541133449696
drop_label_conflict_participants,T3,0.525693497044111,1497,-0.07710429863202306
drop_label_conflict_participants,T4,0.5345372460496614,1497,-0.06826054962647266
drop_cross_project_duplicate_participants,T0,0.6021959459459459,1500,0.0
drop_cross_project_duplicate_participants,T1,0.558693733451015,1500,-0.043502212494930914
drop_cross_project_duplicate_participants,T2,0.5483584738243124,1500,-0.05383747212163359
drop_cross_project_duplicate_participants,T3,0.5247389922832502,1500,-0.07745695366269578
drop_cross_project_duplicate_participants,T4,0.533573681838666,1500,-0.0686222641072799
drop_all_duplicate_flags,T0,0.6012793176972282,1491,0.0
drop_all_duplicate_flags,T1,0.5586145648312612,1491,-0.04266475286596705
drop_all_duplicate_flags,T2,0.5474060822898033,1491,-0.053873235407424946
drop_all_duplicate_flags,T3,0.5244403837368662,1491,-0.07683893396036201
drop_all_duplicate_flags,T4,0.5335753176043557,1491,-0.06770400009287247
