subset,taxonomy_condition,rows,macro_f1,strict_parse_rate,response_model_field_counts,delta_vs_subset_t0
after_key_change,T0,604,0.7344289827255278,0.9950331125827815,accounts/fireworks/models/glm-5p2=604,0.0
after_key_change,T1,591,0.6952467076254972,0.988155668358714,accounts/fireworks/models/glm-5p2=591,-0.039182275100030584
after_key_change,T2,600,0.725741915276799,0.99,accounts/fireworks/models/glm-5p2=600,-0.008687067448728825
after_key_change,T3,600,0.7135074707959793,0.995,accounts/fireworks/models/glm-5p2=600,-0.020921511929548497
after_key_change,T4,614,0.7192029990660171,0.993485342019544,accounts/fireworks/models/glm-5p2=614,-0.015225983659510667
before_key_change,T0,896,0.7391612086427841,0.9933035714285714,frank/GLM-5.2=769; glm-5.2=127,0.0
before_key_change,T1,909,0.7285700283040074,0.9933993399339934,frank/GLM-5.2=767; glm-5.2=142,-0.010591180338776707
before_key_change,T2,900,0.7061433100516213,0.99,frank/GLM-5.2=758; glm-5.2=142,-0.033017898591162775
before_key_change,T3,900,0.7093045766583838,0.9955555555555555,frank/GLM-5.2=746; glm-5.2=154,-0.02985663198440036
before_key_change,T4,886,0.7094896331738436,0.9932279909706546,frank/GLM-5.2=760; glm-5.2=126,-0.029671575468940503
