model_id,taxonomy_condition,invalid_category,count
deepseek-v4-flash,T0,empty_response,5
deepseek-v4-flash,T1,empty_response,28
deepseek-v4-flash,T1,malformed_json_with_one_label,1
deepseek-v4-flash,T2,empty_response,21
deepseek-v4-flash,T2,malformed_json_with_one_label,1
deepseek-v4-flash,T3,empty_response,28
deepseek-v4-flash,T4,empty_response,34
glm-5.2,T0,empty_response,6
glm-5.2,T0,explanatory_or_multi_label_text,3
glm-5.2,T1,empty_response,6
glm-5.2,T1,explanatory_or_multi_label_text,7
glm-5.2,T2,empty_response,5
glm-5.2,T2,explanatory_or_multi_label_text,5
glm-5.2,T2,malformed_json_with_one_label,5
glm-5.2,T3,empty_response,4
glm-5.2,T3,explanatory_or_multi_label_text,3
glm-5.2,T4,empty_response,6
glm-5.2,T4,explanatory_or_multi_label_text,4
kimi-k2.7-code,T1,empty_response,16
kimi-k2.7-code,T2,empty_response,15
kimi-k2.7-code,T3,empty_response,19
kimi-k2.7-code,T3,malformed_json_without_label,1
kimi-k2.7-code,T4,empty_response,21
