model_id,taxonomy_condition,start_utc,end_utc,request_count,api_model_field_counts,planned_task_index_min,planned_task_index_q10,planned_task_index_median,planned_task_index_q90,planned_task_index_max,execution_order,execution_seed,interleaving_note
deepseek-v4-flash,T0,2026-07-05T05:33:14+00:00,2026-07-06T07:08:11+00:00,1500,deepseek-v4-flash=1500,10,710.6,3701.0,6843.200000000001,7498,deterministic_shuffle,20260704,conditions overlap across the planned task index range; no condition was run as one contiguous block within a model
deepseek-v4-flash,T1,2026-07-05T05:33:11+00:00,2026-07-06T07:08:19+00:00,1500,deepseek-v4-flash=1500,7,705.7000000000002,3722.5,6661.200000000001,7499,deterministic_shuffle,20260704,conditions overlap across the planned task index range; no condition was run as one contiguous block within a model
deepseek-v4-flash,T2,2026-07-05T05:33:07+00:00,2026-07-06T07:08:12+00:00,1500,deepseek-v4-flash=1500,2,800.6,3759.5,6758.9000000000015,7500,deterministic_shuffle,20260704,conditions overlap across the planned task index range; no condition was run as one contiguous block within a model
deepseek-v4-flash,T3,2026-07-05T05:33:11+00:00,2026-07-06T07:08:02+00:00,1500,deepseek-v4-flash=1500,6,786.4000000000001,3824.5,6713.1,7488,deterministic_shuffle,20260704,conditions overlap across the planned task index range; no condition was run as one contiguous block within a model
deepseek-v4-flash,T4,2026-07-05T05:33:07+00:00,2026-07-06T07:08:10+00:00,1500,deepseek-v4-flash=1500,1,756.0,3740.5,6770.200000000001,7496,deterministic_shuffle,20260704,conditions overlap across the planned task index range; no condition was run as one contiguous block within a model
glm-5.2,T0,2026-07-06T13:32:27+00:00,2026-07-07T09:26:39+00:00,1500,accounts/fireworks/models/glm-5p2=604; frank/GLM-5.2=769; glm-5.2=127,10,710.6,3701.0,6843.200000000001,7498,deterministic_shuffle,20260704,conditions overlap across the planned task index range; no condition was run as one contiguous block within a model
glm-5.2,T1,2026-07-06T13:32:08+00:00,2026-07-07T09:26:41+00:00,1500,accounts/fireworks/models/glm-5p2=591; frank/GLM-5.2=767; glm-5.2=142,7,705.7000000000002,3722.5,6661.200000000001,7499,deterministic_shuffle,20260704,conditions overlap across the planned task index range; no condition was run as one contiguous block within a model
glm-5.2,T2,2026-07-06T13:31:57+00:00,2026-07-07T09:26:43+00:00,1500,accounts/fireworks/models/glm-5p2=600; frank/GLM-5.2=758; glm-5.2=142,2,800.6,3759.5,6758.9000000000015,7500,deterministic_shuffle,20260704,conditions overlap across the planned task index range; no condition was run as one contiguous block within a model
glm-5.2,T3,2026-07-06T13:32:05+00:00,2026-07-07T09:26:14+00:00,1500,accounts/fireworks/models/glm-5p2=600; frank/GLM-5.2=746; glm-5.2=154,6,786.4000000000001,3824.5,6713.1,7488,deterministic_shuffle,20260704,conditions overlap across the planned task index range; no condition was run as one contiguous block within a model
glm-5.2,T4,2026-07-06T13:31:57+00:00,2026-07-07T09:26:33+00:00,1500,accounts/fireworks/models/glm-5p2=614; frank/GLM-5.2=760; glm-5.2=126,1,756.0,3740.5,6770.200000000001,7496,deterministic_shuffle,20260704,conditions overlap across the planned task index range; no condition was run as one contiguous block within a model
kimi-k2.7-code,T0,2026-07-06T07:08:48+00:00,2026-07-06T13:31:52+00:00,1500,kimi-k2.7-code=1500,10,710.6,3701.0,6843.200000000001,7498,deterministic_shuffle,20260704,conditions overlap across the planned task index range; no condition was run as one contiguous block within a model
kimi-k2.7-code,T1,2026-07-06T07:08:37+00:00,2026-07-06T13:31:53+00:00,1500,kimi-k2.7-code=1500,7,705.7000000000002,3722.5,6661.200000000001,7499,deterministic_shuffle,20260704,conditions overlap across the planned task index range; no condition was run as one contiguous block within a model
kimi-k2.7-code,T2,2026-07-06T07:08:21+00:00,2026-07-06T13:31:55+00:00,1500,kimi-k2.7-code=1500,2,800.6,3759.5,6758.9000000000015,7500,deterministic_shuffle,20260704,conditions overlap across the planned task index range; no condition was run as one contiguous block within a model
kimi-k2.7-code,T3,2026-07-06T07:08:34+00:00,2026-07-06T13:31:21+00:00,1500,kimi-k2.7-code=1500,6,786.4000000000001,3824.5,6713.1,7488,deterministic_shuffle,20260704,conditions overlap across the planned task index range; no condition was run as one contiguous block within a model
kimi-k2.7-code,T4,2026-07-06T07:08:21+00:00,2026-07-06T13:31:47+00:00,1500,kimi-k2.7-code=1500,1,756.0,3740.5,6770.200000000001,7496,deterministic_shuffle,20260704,conditions overlap across the planned task index range; no condition was run as one contiguous block within a model
