model_id,comparison,mean_delta_macro_f1,median_delta_macro_f1,ci_low,ci_high,min_delta,max_delta,n_projects
deepseek-v4-flash,"mean(T1,T2,T3,T4)-T0",-0.013352320396634098,-0.0058564354727896895,-0.037506972523487184,0.0020533291725927548,-0.06007508430201636,0.0064795275030223864,5
deepseek-v4-flash,T1-T0,-0.012806455977898734,-0.004568078452058422,-0.0430146461542479,0.008947355713411898,-0.06882569208837275,0.017957645157058777,5
deepseek-v4-flash,T2-T0,-0.00850857513978318,0.0006290659694766498,-0.03235416437238139,0.007602052831390482,-0.052005184853894604,0.014588510485725181,5
deepseek-v4-flash,T3-T0,-0.02293067669631783,-0.01259744337039459,-0.04966045990287411,-0.007292333149788899,-0.07563281481470063,-0.005019270226225281,5
deepseek-v4-flash,T4-T0,-0.009163573772536604,-0.007400639918328733,-0.027688237791665647,0.0060241509460603245,-0.043836645451097334,0.012350669111779289,5
glm-5.2,"mean(T1,T2,T3,T4)-T0",-0.02494257866939147,-0.020106003143949502,-0.03164930687037655,-0.01835293254518775,-0.035243124868069575,-0.01684660558726425,5
glm-5.2,T1-T0,-0.02286120962493663,-0.02227433317275951,-0.027602267381054625,-0.018120151868818636,-0.030328200649032633,-0.01572396425362288,5
glm-5.2,T2-T0,-0.024400724873169754,-0.023906493693231612,-0.03334907772644193,-0.015452372019897576,-0.037403569760765976,-0.011578178474940692,5
glm-5.2,T3-T0,-0.028586194521490492,-0.032190289152478124,-0.03806199015638763,-0.018152439187394863,-0.04511733120714356,-0.012569421844571771,5
glm-5.2,T4-T0,-0.02392218565796882,-0.023280712459017416,-0.03944549752700475,-0.00982083418726416,-0.05073978898320897,-0.0005823061622208803,5
kimi-k2.7-code,"mean(T1,T2,T3,T4)-T0",-0.04706730787201689,-0.05213307184982796,-0.061561313986051684,-0.032059087241392815,-0.07092997438388615,-0.024010971540296855,5
kimi-k2.7-code,T1-T0,-0.031064702256140574,-0.03542946496951649,-0.04753575306501394,-0.013889613352090668,-0.05505321651619599,-0.0018765059243952553,5
kimi-k2.7-code,T2-T0,-0.04677231455756772,-0.05085344674167569,-0.06016261239631342,-0.032830713707328193,-0.06987283225089902,-0.02194072856639384,5
kimi-k2.7-code,T3-T0,-0.05412594605186647,-0.05175940813932822,-0.07335725716550659,-0.03403103157990557,-0.08775582318295883,-0.019520329481241272,5
kimi-k2.7-code,T4-T0,-0.05630626862249277,-0.05631634464671753,-0.07146717932490246,-0.041145357920083094,-0.08001980844010625,-0.03455634695426624,5
