comparison,metric,mean_delta,median_delta,ci_low,ci_high,n_blocks
T1-T0,strict_delta,-0.022244122619658645,-0.018439248832043953,-0.033535412607,-0.011593937653632825,15
T1-T0,lenient_delta,-0.022314751964292674,-0.018439248832043953,-0.033600331677166057,-0.011690051978342851,15
T1-T0,valid_paired_delta,-0.019104487657071244,-0.016417532086347664,-0.029406419477549035,-0.009192325322584826,15
T2-T0,strict_delta,-0.026560538190173552,-0.023906493693231612,-0.03836441059456427,-0.015043281588241761,15
T2-T0,lenient_delta,-0.025767760115233497,-0.023906493693231612,-0.03775347729794438,-0.014087516055243702,15
T2-T0,valid_paired_delta,-0.024443555332758393,-0.024142877402032803,-0.03657881341163639,-0.012375565824329209,15
T3-T0,strict_delta,-0.03521427242322493,-0.032190289152478124,-0.04811819612683926,-0.023202976105225877,15
T3-T0,lenient_delta,-0.03521427242322493,-0.032190289152478124,-0.04811819612683926,-0.023202976105225877,15
T3-T0,valid_paired_delta,-0.03144435432523018,-0.025476432257625636,-0.04368113767713284,-0.020203137126485915,15
T4-T0,strict_delta,-0.02979734268433273,-0.024076539990640744,-0.043337253549503005,-0.01665984112397066,15
T4-T0,lenient_delta,-0.02979734268433273,-0.024076539990640744,-0.043337253549503005,-0.01665984112397066,15
T4-T0,valid_paired_delta,-0.02514709740603715,-0.02641969865391447,-0.03838788995603468,-0.012410894023979628,15
