model_id,repository,comparison,strict_delta,lenient_delta,valid_paired_delta,t0_invalid_rate,enriched_invalid_rate,valid_pair_rate,n
deepseek-v4-flash,bitcoin/bitcoin,T1-T0,-0.004568078452058422,-0.004568078452058422,-0.0013975446093185129,0.0,0.01666666666666672,0.9833333333333333,300
deepseek-v4-flash,facebook/react,T1-T0,0.00199409915779436,0.0009346589882839318,0.004984084788278276,0.0,0.020000000000000018,0.98,300
deepseek-v4-flash,microsoft/vscode,T1-T0,0.017957645157058777,0.017957645157058777,0.016844331771968424,0.0,0.01666666666666672,0.9833333333333333,300
deepseek-v4-flash,opencv/opencv,T1-T0,-0.010590253663915639,-0.010590253663915639,-0.0037666768834220266,0.0033333333333332993,0.010000000000000009,0.9866666666666667,300
deepseek-v4-flash,tensorflow/tensorflow,T1-T0,-0.06882569208837275,-0.06882569208837275,-0.05452426053770443,0.013333333333333308,0.033333333333333326,0.9566666666666667,300
glm-5.2,bitcoin/bitcoin,T1-T0,-0.030328200649032633,-0.030328200649032633,-0.030512498379966613,0.0033333333333332993,0.020000000000000018,0.9766666666666667,300
glm-5.2,facebook/react,T1-T0,-0.018439248832043953,-0.018439248832043953,-0.016417532086347664,0.00666666666666671,0.0033333333333332993,0.99,300
glm-5.2,microsoft/vscode,T1-T0,-0.027540301217224172,-0.027540301217224172,-0.025542999950219025,0.00666666666666671,0.00666666666666671,0.9866666666666667,300
glm-5.2,opencv/opencv,T1-T0,-0.02227433317275951,-0.02227433317275951,-0.027534923689644164,0.010000000000000009,0.0033333333333332993,0.9866666666666667,300
glm-5.2,tensorflow/tensorflow,T1-T0,-0.01572396425362288,-0.01572396425362288,-0.014453525041900117,0.0033333333333332993,0.010000000000000009,0.9866666666666667,300
kimi-k2.7-code,bitcoin/bitcoin,T1-T0,-0.04607143366158062,-0.04607143366158062,-0.045846162184595474,0.0,0.00666666666666671,0.9933333333333333,300
kimi-k2.7-code,facebook/react,T1-T0,-0.0018765059243952553,-0.0018765059243952553,9.473487357480881e-05,0.0,0.0033333333333332993,0.9966666666666667,300
kimi-k2.7-code,microsoft/vscode,T1-T0,-0.01689289020901452,-0.01689289020901452,-0.013449622280454987,0.0,0.00666666666666671,0.9933333333333333,300
kimi-k2.7-code,opencv/opencv,T1-T0,-0.03542946496951649,-0.03542946496951649,-0.023320723757047634,0.0,0.020000000000000018,0.98,300
kimi-k2.7-code,tensorflow/tensorflow,T1-T0,-0.05505321651619599,-0.05505321651619599,-0.05172399688926954,0.0,0.01666666666666672,0.9833333333333333,300
deepseek-v4-flash,bitcoin/bitcoin,T2-T0,0.014588510485725181,0.01623777420727801,0.017574512925829455,0.0,0.01666666666666672,0.9833333333333333,300
deepseek-v4-flash,facebook/react,T2-T0,-0.009433447974202203,-0.009433447974202203,-0.010530959620675517,0.0,0.0033333333333332993,0.9966666666666667,300
deepseek-v4-flash,microsoft/vscode,T2-T0,0.0006290659694766498,0.0006290659694766498,0.0024610991300484386,0.0,0.013333333333333308,0.9866666666666667,300
deepseek-v4-flash,opencv/opencv,T2-T0,0.00367818067397907,0.00367818067397907,0.0067560305991480885,0.0033333333333332993,0.020000000000000018,0.9766666666666667,300
deepseek-v4-flash,tensorflow/tensorflow,T2-T0,-0.052005184853894604,-0.052005184853894604,-0.04109282317912566,0.013333333333333308,0.020000000000000018,0.9733333333333334,300
glm-5.2,bitcoin/bitcoin,T2-T0,-0.023906493693231612,-0.023906493693231612,-0.024142877402032803,0.0033333333333332993,0.0033333333333332993,0.9933333333333333,300
glm-5.2,facebook/react,T2-T0,-0.01509950472818744,-0.01509950472818744,-0.022562327319114894,0.00666666666666671,0.00666666666666671,0.9866666666666667,300
glm-5.2,microsoft/vscode,T2-T0,-0.037403569760765976,-0.03387817537141924,-0.02987331013805694,0.00666666666666671,0.01666666666666672,0.9766666666666667,300
glm-5.2,opencv/opencv,T2-T0,-0.03401587770872305,-0.03401587770872305,-0.042177440258836185,0.010000000000000009,0.0,0.99,300
glm-5.2,tensorflow/tensorflow,T2-T0,-0.011578178474940692,-0.004861165461739425,0.0026330898392749047,0.0033333333333332993,0.023333333333333317,0.9733333333333334,300
kimi-k2.7-code,bitcoin/bitcoin,T2-T0,-0.06987283225089902,-0.06987283225089902,-0.06861598435953264,0.0,0.00666666666666671,0.9933333333333333,300
kimi-k2.7-code,facebook/react,T2-T0,-0.04009070380128443,-0.04009070380128443,-0.03565043598773254,0.0,0.00666666666666671,0.9933333333333333,300
kimi-k2.7-code,microsoft/vscode,T2-T0,-0.02194072856639384,-0.02194072856639384,-0.016723043813868577,0.0,0.010000000000000009,0.99,300
kimi-k2.7-code,opencv/opencv,T2-T0,-0.05085344674167569,-0.05085344674167569,-0.04831711380224635,0.0,0.0033333333333332993,0.9966666666666667,300
kimi-k2.7-code,tensorflow/tensorflow,T2-T0,-0.051103861427585606,-0.051103861427585606,-0.05639174660445467,0.0,0.023333333333333317,0.9766666666666667,300
deepseek-v4-flash,bitcoin/bitcoin,T3-T0,-0.01259744337039459,-0.01259744337039459,-0.010241444147196965,0.0,0.00666666666666671,0.9933333333333333,300
deepseek-v4-flash,facebook/react,T3-T0,-0.008585753156422182,-0.008585753156422182,-0.004844798451383747,0.0,0.010000000000000009,0.99,300
deepseek-v4-flash,microsoft/vscode,T3-T0,-0.005019270226225281,-0.005019270226225281,-0.0004601157977959236,0.0,0.033333333333333326,0.9666666666666667,300
deepseek-v4-flash,opencv/opencv,T3-T0,-0.012818101913846469,-0.012818101913846469,-0.016594100589056304,0.0033333333333332993,0.010000000000000009,0.9866666666666667,300
deepseek-v4-flash,tensorflow/tensorflow,T3-T0,-0.07563281481470063,-0.07563281481470063,-0.057077637905805,0.013333333333333308,0.033333333333333326,0.9533333333333334,300
glm-5.2,bitcoin/bitcoin,T3-T0,-0.012569421844571771,-0.012569421844571771,-0.009578027017746904,0.0033333333333332993,0.00666666666666671,0.99,300
glm-5.2,facebook/react,T3-T0,-0.019111430795672568,-0.019111430795672568,-0.023981709895462666,0.00666666666666671,0.0,0.9933333333333333,300
glm-5.2,microsoft/vscode,T3-T0,-0.04511733120714356,-0.04511733120714356,-0.04546885469511508,0.00666666666666671,0.0033333333333332993,0.99,300
glm-5.2,opencv/opencv,T3-T0,-0.03394249960758644,-0.03394249960758644,-0.03806395947161534,0.010000000000000009,0.0,0.99,300
glm-5.2,tensorflow/tensorflow,T3-T0,-0.032190289152478124,-0.032190289152478124,-0.025476432257625636,0.0033333333333332993,0.013333333333333308,0.9833333333333333,300
kimi-k2.7-code,bitcoin/bitcoin,T3-T0,-0.08775582318295883,-0.08775582318295883,-0.08585788611695344,0.0,0.0033333333333332993,0.9966666666666667,300
kimi-k2.7-code,facebook/react,T3-T0,-0.019520329481241272,-0.019520329481241272,-0.010850794754954873,0.0,0.01666666666666672,0.9833333333333333,300
kimi-k2.7-code,microsoft/vscode,T3-T0,-0.04886898606663492,-0.04886898606663492,-0.037953750273575726,0.0,0.01666666666666672,0.9833333333333333,300
kimi-k2.7-code,opencv/opencv,T3-T0,-0.05175940813932822,-0.05175940813932822,-0.04871619825401008,0.0,0.010000000000000009,0.99,300
kimi-k2.7-code,tensorflow/tensorflow,T3-T0,-0.0627251833891691,-0.0627251833891691,-0.05649960525015496,0.0,0.020000000000000018,0.98,300
deepseek-v4-flash,bitcoin/bitcoin,T4-T0,0.0063641296966695515,0.0063641296966695515,0.00789858867763027,0.0,0.010000000000000009,0.99,300
deepseek-v4-flash,facebook/react,T4-T0,-0.007400639918328733,-0.007400639918328733,-0.004058048777787593,0.0,0.010000000000000009,0.99,300
deepseek-v4-flash,microsoft/vscode,T4-T0,0.012350669111779289,0.012350669111779289,0.013854406171311062,0.0,0.023333333333333317,0.9766666666666667,300
deepseek-v4-flash,opencv/opencv,T4-T0,-0.013295382301705794,-0.013295382301705794,-0.007223404524726251,0.0033333333333332993,0.033333333333333326,0.9633333333333334,300
deepseek-v4-flash,tensorflow/tensorflow,T4-T0,-0.043836645451097334,-0.043836645451097334,-0.02641969865391447,0.013333333333333308,0.036666666666666625,0.9533333333333334,300
glm-5.2,bitcoin/bitcoin,T4-T0,-0.0005823061622208803,-0.0005823061622208803,0.008217112303937402,0.0033333333333332993,0.01666666666666672,0.98,300
glm-5.2,facebook/react,T4-T0,-0.023280712459017416,-0.023280712459017416,-0.02021700443800678,0.00666666666666671,0.010000000000000009,0.9833333333333333,300
glm-5.2,microsoft/vscode,T4-T0,-0.024076539990640744,-0.024076539990640744,-0.028029886274555715,0.00666666666666671,0.0,0.9933333333333333,300
glm-5.2,opencv/opencv,T4-T0,-0.05073978898320897,-0.05073978898320897,-0.05519461718203311,0.010000000000000009,0.0,0.99,300
glm-5.2,tensorflow/tensorflow,T4-T0,-0.02093158069475609,-0.02093158069475609,-0.018208387860219943,0.0033333333333332993,0.00666666666666671,0.99,300
kimi-k2.7-code,bitcoin/bitcoin,T4-T0,-0.08001980844010625,-0.08001980844010625,-0.0700868350260111,0.0,0.020000000000000018,0.98,300
kimi-k2.7-code,facebook/react,T4-T0,-0.03455634695426624,-0.03455634695426624,-0.03201651591651311,0.0,0.0033333333333332993,0.9966666666666667,300
kimi-k2.7-code,microsoft/vscode,T4-T0,-0.04014887552258273,-0.04014887552258273,-0.031091800767361066,0.0,0.013333333333333308,0.9866666666666667,300
kimi-k2.7-code,opencv/opencv,T4-T0,-0.07048996754879111,-0.07048996754879111,-0.06912493280784504,0.0,0.00666666666666671,0.9933333333333333,300
