metric,observed,ci_low,ci_high,bootstrap_draws,bootstrap_seed,resampling_unit,selection_recomputed_each_draw,analysis_status
mean_gain,0.0,-0.007355321611114747,0.0013613268044965633,10000,20260704,issue ids sampled within every fixed train and test repository; all system-condition outcomes carried together,True,protocol-specified selector uncertainty completed after result visibility
median_gain,0.0,0.0,0.0,10000,20260704,issue ids sampled within every fixed train and test repository; all system-condition outcomes carried together,True,protocol-specified selector uncertainty completed after result visibility
mean_regret,0.002547895698303826,0.0019301951907755744,0.012919922789405824,10000,20260704,issue ids sampled within every fixed train and test repository; all system-condition outcomes carried together,True,protocol-specified selector uncertainty completed after result visibility
median_regret,0.0,0.0,0.00445009731919919,10000,20260704,issue ids sampled within every fixed train and test repository; all system-condition outcomes carried together,True,protocol-specified selector uncertainty completed after result visibility
selected_above_t0_rate,0.0,0.0,0.2,10000,20260704,issue ids sampled within every fixed train and test repository; all system-condition outcomes carried together,True,protocol-specified selector uncertainty completed after result visibility
selected_equals_oracle_rate,0.7333333333333333,0.4,0.8,10000,20260704,issue ids sampled within every fixed train and test repository; all system-condition outcomes carried together,True,protocol-specified selector uncertainty completed after result visibility
selected_T0_rate,1.0,0.6666666666666666,1.0,10000,20260704,issue ids sampled within every fixed train and test repository; all system-condition outcomes carried together,True,protocol-specified selector uncertainty completed after result visibility
selected_T1_rate,0.0,0.0,0.2,10000,20260704,issue ids sampled within every fixed train and test repository; all system-condition outcomes carried together,True,protocol-specified selector uncertainty completed after result visibility
selected_T2_rate,0.0,0.0,0.3333333333333333,10000,20260704,issue ids sampled within every fixed train and test repository; all system-condition outcomes carried together,True,protocol-specified selector uncertainty completed after result visibility
selected_T3_rate,0.0,0.0,0.0,10000,20260704,issue ids sampled within every fixed train and test repository; all system-condition outcomes carried together,True,protocol-specified selector uncertainty completed after result visibility
selected_T4_rate,0.0,0.0,0.06666666666666667,10000,20260704,issue ids sampled within every fixed train and test repository; all system-condition outcomes carried together,True,protocol-specified selector uncertainty completed after result visibility
