repository,comparison,mean_delta_across_models,n_models
bitcoin/bitcoin,T1-T0,-0.026989237587557224,3
facebook/react,T1-T0,-0.006107218532881616,3
microsoft/vscode,T1-T0,-0.008825182089726638,3
opencv/opencv,T1-T0,-0.022764683935397212,3
tensorflow/tensorflow,T1-T0,-0.04653429095273054,3
bitcoin/bitcoin,T2-T0,-0.02639693848613515,3
facebook/react,T2-T0,-0.021541218834558024,3
microsoft/vscode,T2-T0,-0.019571744119227723,3
opencv/opencv,T2-T0,-0.027063714592139892,3
tensorflow/tensorflow,T2-T0,-0.03822907491880697,3
bitcoin/bitcoin,T3-T0,-0.03764089613264173,3
facebook/react,T3-T0,-0.01573917114444534,3
microsoft/vscode,T3-T0,-0.033001862500001256,3
opencv/opencv,T3-T0,-0.03284000322025371,3
tensorflow/tensorflow,T3-T0,-0.05684942911878262,3
bitcoin/bitcoin,T4-T0,-0.024745994968552527,3
facebook/react,T4-T0,-0.02174589977720413,3
microsoft/vscode,T4-T0,-0.017291582133814726,3
opencv/opencv,T4-T0,-0.044841712944568624,3
tensorflow/tensorflow,T4-T0,-0.04036152359752365,3
bitcoin/bitcoin,"mean(T1,T2,T3,T4)-T0",-0.028943266793721684,3
facebook/react,"mean(T1,T2,T3,T4)-T0",-0.016283377072272304,3
microsoft/vscode,"mean(T1,T2,T3,T4)-T0",-0.019672592710692587,3
opencv/opencv,"mean(T1,T2,T3,T4)-T0",-0.031877528673089905,3
tensorflow/tensorflow,"mean(T1,T2,T3,T4)-T0",-0.045493579646960956,3
