model_id,repository,enrichment_mean_delta,T1_delta,T2_delta,T3_delta,T4_delta
deepseek-v4-flash,bitcoin/bitcoin,0.0009467795899853471,-0.004568078452058422,0.014588510485725181,-0.01259744337039459,0.0063641296966695515
deepseek-v4-flash,facebook/react,-0.0058564354727896895,0.00199409915779436,-0.009433447974202203,-0.008585753156422182,-0.007400639918328733
deepseek-v4-flash,microsoft/vscode,0.0064795275030223864,0.017957645157058777,0.0006290659694766498,-0.005019270226225281,0.012350669111779289
deepseek-v4-flash,opencv/opencv,-0.00825638930137218,-0.010590253663915639,0.00367818067397907,-0.012818101913846469,-0.013295382301705794
deepseek-v4-flash,tensorflow/tensorflow,-0.06007508430201636,-0.06882569208837275,-0.052005184853894604,-0.07563281481470063,-0.043836645451097334
glm-5.2,bitcoin/bitcoin,-0.01684660558726425,-0.030328200649032633,-0.023906493693231612,-0.012569421844571771,-0.0005823061622208803
glm-5.2,facebook/react,-0.018982724203730372,-0.018439248832043953,-0.01509950472818744,-0.019111430795672568,-0.023280712459017416
glm-5.2,microsoft/vscode,-0.03353443554394364,-0.027540301217224172,-0.037403569760765976,-0.04511733120714356,-0.024076539990640744
glm-5.2,opencv/opencv,-0.035243124868069575,-0.02227433317275951,-0.03401587770872305,-0.03394249960758644,-0.05073978898320897
glm-5.2,tensorflow/tensorflow,-0.020106003143949502,-0.01572396425362288,-0.011578178474940692,-0.032190289152478124,-0.02093158069475609
kimi-k2.7-code,bitcoin/bitcoin,-0.07092997438388615,-0.04607143366158062,-0.06987283225089902,-0.08775582318295883,-0.08001980844010625
kimi-k2.7-code,facebook/react,-0.024010971540296855,-0.0018765059243952553,-0.04009070380128443,-0.019520329481241272,-0.03455634695426624
kimi-k2.7-code,microsoft/vscode,-0.0319628700911565,-0.01689289020901452,-0.02194072856639384,-0.04886898606663492,-0.04014887552258273
kimi-k2.7-code,opencv/opencv,-0.05213307184982796,-0.03542946496951649,-0.05085344674167569,-0.05175940813932822,-0.07048996754879111
kimi-k2.7-code,tensorflow/tensorflow,-0.056299651494917,-0.05505321651619599,-0.051103861427585606,-0.0627251833891691,-0.05631634464671753
