repository,taxonomy_condition,mean_macro_f1_across_models,rank_within_project
bitcoin/bitcoin,T1,0.7036659879379861,3
bitcoin/bitcoin,T2,0.7042582870394082,2
bitcoin/bitcoin,T3,0.6930143293929016,4
bitcoin/bitcoin,T4,0.7059092305569908,1
facebook/react,T1,0.7757303850490705,1
facebook/react,T2,0.7602963847473941,3
facebook/react,T3,0.7660984324375067,2
facebook/react,T4,0.760091703804748,4
microsoft/vscode,T1,0.6134810647115928,1
microsoft/vscode,T2,0.6027345026820917,3
microsoft/vscode,T3,0.5893043843013182,4
microsoft/vscode,T4,0.6050146646675048,2
opencv/opencv,T1,0.7274581746641031,1
opencv/opencv,T2,0.7231591440073605,2
opencv/opencv,T3,0.7173828553792466,3
opencv/opencv,T4,0.7053811456549317,4
tensorflow/tensorflow,T1,0.7190276018865142,3
tensorflow/tensorflow,T2,0.7273328179204378,1
tensorflow/tensorflow,T3,0.7087124637204621,4
tensorflow/tensorflow,T4,0.7252003692417212,2
