model_id,taxonomy_condition,model_revision,request_count
deepseek-v4-flash,T0,deepseek-v4-flash,1500
deepseek-v4-flash,T1,deepseek-v4-flash,1500
deepseek-v4-flash,T2,deepseek-v4-flash,1500
deepseek-v4-flash,T3,deepseek-v4-flash,1500
deepseek-v4-flash,T4,deepseek-v4-flash,1500
glm-5.2,T0,accounts/fireworks/models/glm-5p2,604
glm-5.2,T0,frank/GLM-5.2,769
glm-5.2,T0,glm-5.2,127
glm-5.2,T1,accounts/fireworks/models/glm-5p2,591
glm-5.2,T1,frank/GLM-5.2,767
glm-5.2,T1,glm-5.2,142
glm-5.2,T2,accounts/fireworks/models/glm-5p2,600
glm-5.2,T2,frank/GLM-5.2,758
glm-5.2,T2,glm-5.2,142
glm-5.2,T3,accounts/fireworks/models/glm-5p2,600
glm-5.2,T3,frank/GLM-5.2,746
glm-5.2,T3,glm-5.2,154
glm-5.2,T4,accounts/fireworks/models/glm-5p2,614
glm-5.2,T4,frank/GLM-5.2,760
glm-5.2,T4,glm-5.2,126
kimi-k2.7-code,T0,kimi-k2.7-code,1500
kimi-k2.7-code,T1,kimi-k2.7-code,1500
kimi-k2.7-code,T2,kimi-k2.7-code,1500
kimi-k2.7-code,T3,kimi-k2.7-code,1500
kimi-k2.7-code,T4,kimi-k2.7-code,1500
