system_id,invocation_segment,taxonomy_condition,segment_first_start_utc,segment_last_end_utc,raw_checkpoint_record_count,unique_raw_task_count,terminal_error_checkpoint_record_count,unique_terminal_error_task_count,canonical_successful_task_count,canonical_condition_share_within_segment,provenance_basis,raw_marker_exposed,analysis_status
deepseek-v4-flash,invocation_001,T0,2026-07-05T05:33:07+00:00,2026-07-05T07:57:59+00:00,1500,1500,184,184,1316,0.19843184559710494,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
deepseek-v4-flash,invocation_001,T1,2026-07-05T05:33:07+00:00,2026-07-05T07:57:59+00:00,1500,1500,158,158,1342,0.20235223160434257,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
deepseek-v4-flash,invocation_001,T2,2026-07-05T05:33:07+00:00,2026-07-05T07:57:59+00:00,1500,1500,182,182,1318,0.19873341375150785,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
deepseek-v4-flash,invocation_001,T3,2026-07-05T05:33:07+00:00,2026-07-05T07:57:59+00:00,1500,1500,174,174,1326,0.19993968636911943,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
deepseek-v4-flash,invocation_001,T4,2026-07-05T05:33:07+00:00,2026-07-05T07:57:59+00:00,1500,1500,170,170,1330,0.2005428226779252,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
deepseek-v4-flash,invocation_002,T0,2026-07-06T06:53:59+00:00,2026-07-06T07:08:19+00:00,184,184,0,0,184,0.2119815668202765,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
deepseek-v4-flash,invocation_002,T1,2026-07-06T06:53:59+00:00,2026-07-06T07:08:19+00:00,158,158,0,0,158,0.18202764976958524,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
deepseek-v4-flash,invocation_002,T2,2026-07-06T06:53:59+00:00,2026-07-06T07:08:19+00:00,182,182,0,0,182,0.20967741935483872,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
deepseek-v4-flash,invocation_002,T3,2026-07-06T06:53:59+00:00,2026-07-06T07:08:19+00:00,174,174,0,0,174,0.20046082949308755,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
deepseek-v4-flash,invocation_002,T4,2026-07-06T06:53:59+00:00,2026-07-06T07:08:19+00:00,170,170,0,0,170,0.19585253456221199,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_001,T0,2026-07-06T13:31:57+00:00,2026-07-06T22:16:47+00:00,1500,1500,604,604,896,0.19951013137385884,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_001,T1,2026-07-06T13:31:57+00:00,2026-07-06T22:16:47+00:00,1500,1500,591,591,909,0.20240480961923848,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_001,T2,2026-07-06T13:31:57+00:00,2026-07-06T22:16:47+00:00,1500,1500,600,600,900,0.20040080160320642,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_001,T3,2026-07-06T13:31:57+00:00,2026-07-06T22:16:47+00:00,1500,1500,600,600,900,0.20040080160320642,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_001,T4,2026-07-06T13:31:57+00:00,2026-07-06T22:16:47+00:00,1500,1500,614,614,886,0.19728345580048987,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
