model_id,instruction_variant,repeat_id,comparison,delta_macro_f1,condition_ranking
deepseek-v4-flash,P1,1,T2-T0,-0.023628663577293763,"T0,T2,T4"
deepseek-v4-flash,P1,1,T4-T0,-0.02633848190549226,"T0,T2,T4"
deepseek-v4-flash,P1,2,T2-T0,0.01034550993176353,"T2,T4,T0"
deepseek-v4-flash,P1,2,T4-T0,0.003227332028701957,"T2,T4,T0"
deepseek-v4-flash,P1,3,T2-T0,-0.013249396708259309,"T4,T0,T2"
deepseek-v4-flash,P1,3,T4-T0,0.01703945647271443,"T4,T0,T2"
deepseek-v4-flash,P2,1,T2-T0,-0.007930219199447364,"T4,T0,T2"
deepseek-v4-flash,P2,1,T4-T0,0.009245536503113216,"T4,T0,T2"
deepseek-v4-flash,P2,2,T2-T0,-0.005842667698980009,"T0,T2,T4"
deepseek-v4-flash,P2,2,T4-T0,-0.006790574341944078,"T0,T2,T4"
deepseek-v4-flash,P2,3,T2-T0,0.008150567583825707,"T2,T0,T4"
deepseek-v4-flash,P2,3,T4-T0,-0.004490061534949796,"T2,T0,T4"
deepseek-v4-flash,P3,1,T2-T0,-0.005650229725933875,"T4,T0,T2"
deepseek-v4-flash,P3,1,T4-T0,0.01466685955929492,"T4,T0,T2"
deepseek-v4-flash,P3,2,T2-T0,0.020735688465445268,"T2,T4,T0"
deepseek-v4-flash,P3,2,T4-T0,0.012249300866893575,"T2,T4,T0"
deepseek-v4-flash,P3,3,T2-T0,0.05722120095700356,"T2,T4,T0"
deepseek-v4-flash,P3,3,T4-T0,0.03348086455446131,"T2,T4,T0"
glm-5.2,P1,1,T2-T0,-0.006544471365383053,"T0,T2,T4"
glm-5.2,P1,1,T4-T0,-0.012775034650034711,"T0,T2,T4"
glm-5.2,P1,2,T2-T0,0.009481983561512308,"T2,T0,T4"
glm-5.2,P1,2,T4-T0,-0.007678258213455469,"T2,T0,T4"
glm-5.2,P1,3,T2-T0,0.0010069611330014716,"T4,T2,T0"
glm-5.2,P1,3,T4-T0,0.009662986482241287,"T4,T2,T0"
glm-5.2,P2,1,T2-T0,0.012319898184574907,"T2,T4,T0"
glm-5.2,P2,1,T4-T0,0.0053282260743248155,"T2,T4,T0"
glm-5.2,P2,2,T2-T0,0.007257524696837936,"T2,T4,T0"
glm-5.2,P2,2,T4-T0,0.007257524696837936,"T2,T4,T0"
glm-5.2,P2,3,T2-T0,0.017113014109162106,"T2,T4,T0"
glm-5.2,P2,3,T4-T0,0.017113014109162106,"T2,T4,T0"
glm-5.2,P3,1,T2-T0,-0.008504216425727962,"T0,T2,T4"
glm-5.2,P3,1,T4-T0,-0.02376895484836128,"T0,T2,T4"
glm-5.2,P3,2,T2-T0,0.0,"T0,T2,T4"
glm-5.2,P3,2,T4-T0,-0.002155871336199988,"T0,T2,T4"
glm-5.2,P3,3,T2-T0,-0.028239214489214515,"T0,T4,T2"
glm-5.2,P3,3,T4-T0,-0.01863704488974216,"T0,T4,T2"
kimi-k2.7-code,P1,1,T2-T0,-0.031228411027694136,"T0,T4,T2"
kimi-k2.7-code,P1,1,T4-T0,-0.01735893784390785,"T0,T4,T2"
kimi-k2.7-code,P1,2,T2-T0,-0.0257235287061367,"T0,T4,T2"
kimi-k2.7-code,P1,2,T4-T0,-0.0015437065302500441,"T0,T4,T2"
kimi-k2.7-code,P1,3,T2-T0,-0.017843047585625493,"T0,T4,T2"
kimi-k2.7-code,P1,3,T4-T0,-0.011358032926220063,"T0,T4,T2"
kimi-k2.7-code,P2,1,T2-T0,-0.03725738180907079,"T0,T2,T4"
kimi-k2.7-code,P2,1,T4-T0,-0.052547857916453555,"T0,T2,T4"
kimi-k2.7-code,P2,2,T2-T0,0.0021395539788396922,"T4,T2,T0"
kimi-k2.7-code,P2,2,T4-T0,0.01700336700336702,"T4,T2,T0"
kimi-k2.7-code,P2,3,T2-T0,-0.015619360751403133,"T0,T4,T2"
kimi-k2.7-code,P2,3,T4-T0,-0.006364155478328581,"T0,T4,T2"
kimi-k2.7-code,P3,1,T2-T0,-0.054736145819027304,"T0,T2,T4"
kimi-k2.7-code,P3,1,T4-T0,-0.06351215414828892,"T0,T2,T4"
kimi-k2.7-code,P3,2,T2-T0,-0.04383141396013268,"T0,T4,T2"
kimi-k2.7-code,P3,2,T4-T0,-0.015642270992592522,"T0,T4,T2"
kimi-k2.7-code,P3,3,T2-T0,-0.017250395561393628,"T4,T0,T2"
kimi-k2.7-code,P3,3,T4-T0,0.0009513217934269402,"T4,T0,T2"
