model_id,taxonomy_condition,instruction_variant,repeat_id,macro_f1,strict_parse_rate,n
deepseek-v4-flash,T0,P1,1,0.6945574145574146,1.0,150
deepseek-v4-flash,T0,P1,2,0.6605832410483573,0.9933333333333333,150
deepseek-v4-flash,T0,P1,3,0.683036129317157,1.0,150
deepseek-v4-flash,T0,P2,1,0.6798190235690237,0.9933333333333333,150
deepseek-v4-flash,T0,P2,2,0.6709287509801208,1.0,150
deepseek-v4-flash,T0,P2,3,0.683036129317157,1.0,150
deepseek-v4-flash,T0,P3,1,0.6678766835016835,0.9933333333333333,150
deepseek-v4-flash,T0,P3,2,0.6528367824142473,1.0,150
deepseek-v4-flash,T0,P3,3,0.6490626785065171,0.9933333333333333,150
deepseek-v4-flash,T2,P1,1,0.6709287509801208,1.0,150
deepseek-v4-flash,T2,P1,2,0.6709287509801208,1.0,150
deepseek-v4-flash,T2,P1,3,0.6697867326088977,0.9933333333333333,150
deepseek-v4-flash,T2,P2,1,0.6718888043695763,1.0,150
deepseek-v4-flash,T2,P2,2,0.6650860832811408,1.0,150
deepseek-v4-flash,T2,P2,3,0.6911866969009827,0.9933333333333333,150
deepseek-v4-flash,T2,P3,1,0.6622264537757496,1.0,150
deepseek-v4-flash,T2,P3,2,0.6735724708796925,0.9866666666666667,150
deepseek-v4-flash,T2,P3,3,0.7062838794635207,0.9933333333333333,150
deepseek-v4-flash,T4,P1,1,0.6682189326519223,0.9933333333333333,150
deepseek-v4-flash,T4,P1,2,0.6638105730770593,0.9866666666666667,150
deepseek-v4-flash,T4,P1,3,0.7000755857898714,0.9933333333333333,150
deepseek-v4-flash,T4,P2,1,0.6890645600721369,0.9933333333333333,150
deepseek-v4-flash,T4,P2,2,0.6641381766381768,0.9866666666666667,150
deepseek-v4-flash,T4,P2,3,0.6785460677822072,0.9866666666666667,150
deepseek-v4-flash,T4,P3,1,0.6825435430609784,0.9933333333333333,150
deepseek-v4-flash,T4,P3,2,0.6650860832811408,1.0,150
deepseek-v4-flash,T4,P3,3,0.6825435430609784,0.9933333333333333,150
glm-5.2,T0,P1,1,0.6937406156156157,0.9866666666666667,150
glm-5.2,T0,P1,2,0.6948744024636881,1.0,150
glm-5.2,T0,P1,3,0.6861891831172312,1.0,150
glm-5.2,T0,P2,1,0.6818679181759079,0.9933333333333333,150
glm-5.2,T0,P2,2,0.6885946449026346,1.0,150
glm-5.2,T0,P2,3,0.6872433719160383,0.9866666666666667,150
glm-5.2,T0,P3,1,0.7003472222222222,0.9933333333333333,150
glm-5.2,T0,P3,2,0.6980080409356725,1.0,150
glm-5.2,T0,P3,3,0.7144892144892147,1.0,150
glm-5.2,T2,P1,1,0.6871961442502327,1.0,150
glm-5.2,T2,P1,2,0.7043563860252005,1.0,150
glm-5.2,T2,P1,3,0.6871961442502327,1.0,150
glm-5.2,T2,P2,1,0.6941878163604828,0.9866666666666667,150
glm-5.2,T2,P2,2,0.6958521695994725,1.0,150
glm-5.2,T2,P2,3,0.7043563860252005,1.0,150
glm-5.2,T2,P3,1,0.6918430057964943,0.9933333333333333,150
glm-5.2,T2,P3,2,0.6980080409356725,1.0,150
glm-5.2,T2,P3,3,0.6862500000000001,0.9933333333333333,150
glm-5.2,T4,P1,1,0.680965580965581,1.0,150
glm-5.2,T4,P1,2,0.6871961442502327,1.0,150
glm-5.2,T4,P1,3,0.6958521695994725,1.0,150
glm-5.2,T4,P2,1,0.6871961442502327,1.0,150
glm-5.2,T4,P2,2,0.6958521695994725,1.0,150
glm-5.2,T4,P2,3,0.7043563860252005,1.0,150
glm-5.2,T4,P3,1,0.676578267373861,0.9933333333333333,150
glm-5.2,T4,P3,2,0.6958521695994725,1.0,150
glm-5.2,T4,P3,3,0.6958521695994725,1.0,150
kimi-k2.7-code,T0,P1,1,0.697071845943294,1.0,150
kimi-k2.7-code,T0,P1,2,0.7001185145515042,1.0,150
kimi-k2.7-code,T0,P1,3,0.7155928270042194,1.0,150
kimi-k2.7-code,T0,P2,1,0.725992645347484,1.0,150
kimi-k2.7-code,T0,P2,2,0.6932765151515152,1.0,150
kimi-k2.7-code,T0,P2,3,0.7160917785917786,1.0,150
kimi-k2.7-code,T0,P3,1,0.7281809332500577,1.0,150
kimi-k2.7-code,T0,P3,2,0.7094458920746107,1.0,150
kimi-k2.7-code,T0,P3,3,0.7264774056353004,1.0,150
kimi-k2.7-code,T2,P1,1,0.6658434349155998,0.98,150
kimi-k2.7-code,T2,P1,2,0.6743949858453675,1.0,150
kimi-k2.7-code,T2,P1,3,0.697749779418594,0.9933333333333333,150
kimi-k2.7-code,T2,P2,1,0.6887352635384132,1.0,150
kimi-k2.7-code,T2,P2,2,0.6954160691303549,0.98,150
kimi-k2.7-code,T2,P2,3,0.7004724178403755,0.9933333333333333,150
kimi-k2.7-code,T2,P3,1,0.6734447874310304,0.9933333333333333,150
kimi-k2.7-code,T2,P3,2,0.665614478114478,1.0,150
kimi-k2.7-code,T2,P3,3,0.7092270100739068,0.9866666666666667,150
kimi-k2.7-code,T4,P1,1,0.6797129080993861,0.9733333333333334,150
kimi-k2.7-code,T4,P1,2,0.6985748080212542,1.0,150
kimi-k2.7-code,T4,P1,3,0.7042347940779994,1.0,150
kimi-k2.7-code,T4,P2,1,0.6734447874310304,0.9933333333333333,150
kimi-k2.7-code,T4,P2,2,0.7102798821548822,0.9933333333333333,150
kimi-k2.7-code,T4,P2,3,0.7097276231134501,1.0,150
kimi-k2.7-code,T4,P3,1,0.6646687791017688,0.9933333333333333,150
kimi-k2.7-code,T4,P3,2,0.6938036210820182,0.9866666666666667,150
kimi-k2.7-code,T4,P3,3,0.7274287274287273,0.9933333333333333,150
