taxonomy_condition,model_id,repeat_id,n,invalid_outputs,empty_outputs,invalid_rate
T0,deepseek-v4-flash,1,150,0,0,0.0
T0,deepseek-v4-flash,2,150,0,0,0.0
T0,deepseek-v4-flash,3,150,0,0,0.0
T0,glm-5.2,1,150,0,0,0.0
T0,glm-5.2,2,150,0,0,0.0
T0,glm-5.2,3,150,0,0,0.0
T0,kimi-k2.7-code,1,150,0,0,0.0
T0,kimi-k2.7-code,2,150,0,0,0.0
T0,kimi-k2.7-code,3,150,0,0,0.0
T3,deepseek-v4-flash,1,150,2,2,0.013333333333333334
T3,deepseek-v4-flash,2,150,1,1,0.006666666666666667
T3,deepseek-v4-flash,3,150,1,1,0.006666666666666667
T3,glm-5.2,1,150,1,0,0.006666666666666667
T3,glm-5.2,2,150,0,0,0.0
T3,glm-5.2,3,150,0,0,0.0
T3,kimi-k2.7-code,1,150,2,2,0.013333333333333334
T3,kimi-k2.7-code,2,150,1,1,0.006666666666666667
T3,kimi-k2.7-code,3,150,4,4,0.02666666666666667
