invocation_segment,invocation_id_sha256,provider_provenance_segment,system_id,taxonomy_condition,repeat_id,raw_checkpoint_record_count,terminal_error_checkpoint_record_count,canonical_successful_task_count,canonical_invalid_output_count,canonical_empty_response_count,canonical_share_within_invocation_system,first_call_start_utc,last_call_end_utc,raw_invocation_id_exposed,account_identity_available,analysis_status
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,deepseek-v4-flash,T0,1,83,0,83,0,0,0.15749525616698293,2026-07-12T04:47:18+00:00,2026-07-12T05:13:52+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,deepseek-v4-flash,T0,2,92,0,92,0,0,0.17457305502846299,2026-07-12T04:46:57+00:00,2026-07-12T05:13:23+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,deepseek-v4-flash,T0,3,96,0,96,0,0,0.18216318785578747,2026-07-12T04:47:25+00:00,2026-07-12T05:13:47+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,deepseek-v4-flash,T3,1,86,0,86,0,0,0.16318785578747627,2026-07-12T04:48:00+00:00,2026-07-12T05:14:00+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,deepseek-v4-flash,T3,2,79,0,79,1,1,0.14990512333965844,2026-07-12T04:48:05+00:00,2026-07-12T05:13:35+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,deepseek-v4-flash,T3,3,91,0,91,0,0,0.17267552182163187,2026-07-12T04:47:01+00:00,2026-07-12T05:13:49+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,glm-5.2,T0,1,90,0,90,0,0,0.16129032258064516,2026-07-12T04:46:57+00:00,2026-07-12T05:13:54+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,glm-5.2,T0,2,83,0,83,0,0,0.14874551971326164,2026-07-12T04:48:14+00:00,2026-07-12T05:13:40+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,glm-5.2,T0,3,101,0,101,0,0,0.18100358422939067,2026-07-12T04:46:57+00:00,2026-07-12T05:13:33+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,glm-5.2,T3,1,99,0,99,1,0,0.17741935483870969,2026-07-12T04:47:17+00:00,2026-07-12T05:13:33+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,glm-5.2,T3,2,96,0,96,0,0,0.17204301075268819,2026-07-12T04:47:13+00:00,2026-07-12T05:13:26+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,glm-5.2,T3,3,89,0,89,0,0,0.15949820788530467,2026-07-12T04:47:01+00:00,2026-07-12T05:13:45+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,kimi-k2.7-code,T0,1,83,0,83,0,0,0.14954954954954955,2026-07-12T04:47:17+00:00,2026-07-12T05:13:36+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,kimi-k2.7-code,T0,2,96,0,96,0,0,0.17297297297297298,2026-07-12T04:47:00+00:00,2026-07-12T05:13:49+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,kimi-k2.7-code,T0,3,86,0,86,0,0,0.15495495495495495,2026-07-12T04:47:14+00:00,2026-07-12T05:13:58+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,kimi-k2.7-code,T3,1,102,0,102,2,2,0.18378378378378379,2026-07-12T04:46:57+00:00,2026-07-12T05:14:04+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,kimi-k2.7-code,T3,2,95,0,95,1,1,0.17117117117117117,2026-07-12T04:46:59+00:00,2026-07-12T05:14:10+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_001,15e7983aa9c1ff4b1700d0bf8590da60501a66c31175b3d354187844eec15241,targeted-t3-repeat-access-window-1,kimi-k2.7-code,T3,3,93,0,93,3,3,0.16756756756756758,2026-07-12T04:46:59+00:00,2026-07-12T05:14:12+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,deepseek-v4-flash,T0,1,67,0,67,0,0,0.17962466487935658,2026-07-12T21:02:32+00:00,2026-07-12T21:21:37+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,deepseek-v4-flash,T0,2,58,0,58,0,0,0.15549597855227881,2026-07-12T21:02:28+00:00,2026-07-12T21:21:30+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,deepseek-v4-flash,T0,3,54,0,54,0,0,0.1447721179624665,2026-07-12T21:02:37+00:00,2026-07-12T21:21:43+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,deepseek-v4-flash,T3,1,64,0,64,2,2,0.17158176943699732,2026-07-12T21:02:20+00:00,2026-07-12T21:21:36+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,deepseek-v4-flash,T3,2,71,0,71,0,0,0.19034852546916889,2026-07-12T21:02:17+00:00,2026-07-12T21:21:39+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,deepseek-v4-flash,T3,3,59,0,59,1,1,0.1581769436997319,2026-07-12T21:02:41+00:00,2026-07-12T21:21:41+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,glm-5.2,T0,1,60,0,60,0,0,0.17543859649122806,2026-07-12T21:02:23+00:00,2026-07-12T21:20:53+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,glm-5.2,T0,2,67,0,67,0,0,0.195906432748538,2026-07-12T21:02:15+00:00,2026-07-12T21:21:44+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,glm-5.2,T0,3,49,0,49,0,0,0.14327485380116958,2026-07-12T21:02:43+00:00,2026-07-12T21:20:12+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,glm-5.2,T3,1,51,0,51,0,0,0.14912280701754385,2026-07-12T21:02:24+00:00,2026-07-12T21:21:33+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,glm-5.2,T3,2,54,0,54,0,0,0.15789473684210525,2026-07-12T21:02:23+00:00,2026-07-12T21:21:46+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,glm-5.2,T3,3,61,0,61,0,0,0.17836257309941519,2026-07-12T21:02:22+00:00,2026-07-12T21:21:41+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,kimi-k2.7-code,T0,1,67,0,67,0,0,0.19420289855072465,2026-07-12T21:02:15+00:00,2026-07-12T21:21:54+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,kimi-k2.7-code,T0,2,54,0,54,0,0,0.15652173913043479,2026-07-12T21:02:15+00:00,2026-07-12T21:21:57+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,kimi-k2.7-code,T0,3,64,0,64,0,0,0.1855072463768116,2026-07-12T21:02:15+00:00,2026-07-12T21:21:40+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,kimi-k2.7-code,T3,1,48,0,48,0,0,0.1391304347826087,2026-07-12T21:02:20+00:00,2026-07-12T21:21:54+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,kimi-k2.7-code,T3,2,55,0,55,0,0,0.15942028985507245,2026-07-12T21:02:24+00:00,2026-07-12T21:21:27+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
invocation_002,816ee75f377f423739ae6379049e233305f84665c7789f8379ec6d3c96d89db8,targeted-t3-repeat-access-window-2-recovery,kimi-k2.7-code,T3,3,57,0,57,1,1,0.16521739130434782,2026-07-12T21:02:15+00:00,2026-07-12T21:21:47+00:00,False,False,post-result targeted-extension operational audit from frozen records; no new inference and no gold-label access
